organisation,text,label,stance_pred,roberta_stance,correct
Alliance for Automotive Innovation,C. Historical Technology Adoption Versus EV Penetration Assumptions,Other,Neutral,Oppose,False
Alliance for Automotive Innovation,"EPA is assuming that automobile manufacturers can increase BEV production as quickly as they have adopted new transmission or engine technologies, despite the need to build entirely new supply chains and manufacturing facilities.",Feasibility of producing vehicles,Oppose,Support,False
Alliance for Automotive Innovation,Underlying such rapid growth is also an assumption that the majority of new vehicle buyers will accept BEVs and their inherent changes to driving habits.,Consumer desires,Oppose,Support,False
Alliance for Automotive Innovation,[See original comment for Figure 2: Examples of historical automotive technology adoption29 compared to projected BEV market share under the EPA proposal.],Other,Neutral,Oppose,False
Alliance for Automotive Innovation,"Figure 2 shows the penetration rate of automotive technologies that have been introduced in the last nineteen years. Technologies that follow the most aggressive growth curve are those that are generally transparent to the customer. Eight speed transmissions, gasoline direct injection (GDI) engines, and stop-start have become standard features, and have little or no impact on customer driving behaviors. BEVs, on the other hand, require drivers to make active changes to their driving habits and potentially additional investments (e.g., home charging equipment). In short, BEVs require change, whereas many of the most successful automotive technologies do not.",Consumer desires,Oppose,Support,False
Alliance for Automotive Innovation,"EPA has assumed a steep growth in BEV adoption at rates typically only seen in the evolution of disruptive technologies such as the cell phone, the television and microwave ovens, all of which added significant direct convenience and other benefits to customers and that cost substantially less at the time of purchase than an automobile. BEVs, on the other hand, have not thus far experienced such rapid adoption. In terms of convenience or additional new utility, BEVs offer generally superior acceleration performance, home refueling (a convenience not available to all customers), potentially lower fuel costs (that are dependent on where and when a\n\nvehicle is charged), and environmental benefits (important to some, but transparent to many)",Vehicle utility,Oppose,Support,False
Alliance for Automotive Innovation,"Thus, EPA makes an extremely aggressive assumption for a nascent technology that has not been fully embraced by the consumer and that faces many additional industrial and market challenges.",Market challenges,Oppose,Support,False
Alliance for Automotive Innovation,"Rapid adoption is generally achieved through customer interest and demand for products. According to the latest JD Power EV Index, the percentage of Americans who say they are ""very unlikely"" to buy an electric vehicle as their next car is growing. JD Power has found that the EV-skeptic contingent has steadily grown from 18% to 21% of respondents between January and March 2023. Those ""very likely"" to go electric has stayed flat this year at 27%. These trends are seen across buyer demographics as well. While the majority of baby boomers and pre-boomers are not considering EVs, 33% of Generation Z shoppers also told JD Power they were either ""somewhat unlikely"" or ""very unlikely"" to buy an EV.\n\nThe premise that “Modern vehicles have sufficient power without the use of enrichment”288 is highly subjective and ultimately decided by the customer and their increasing demand for vehicle utility. Such a broad declaration gives the impression that EPA believes that vehicle utility has reached a practical zenith or that any incremental utility can and should now be capped in order to facilitate a new, narrow emissions reduction strategy through the elimination of enrichment. This is in contrast with EPA’s historical practice of setting performance-based standards that generally assume at least maintaining current levels of performance (i.e., not negatively affecting a vehicle’s utility).\n\nNew vehicle purchasers generally desire increased vehicle features, including power, not less. Power, and the enhanced utility and driving dynamics it enables, are core customer-demanded functional attributes of a vehicle and engine combination. The preference of customers for improved features transcends all price points and vehicle segments. New vehicle purchasers consistently raise the bar on what they decide to be sufficient.",Consumer desires,Oppose,Support,False
Alliance for Automotive Innovation,"Customers who seek specific power levels and are dissatisfied with the reduced power of downsized engines due to prohibitions on enrichment would likely revert to seeking out higher displacement engines or shift into larger vehicle segments. Worse yet, customers may simply reject new offerings and remain in older vehicles longer, further increasing the rising average age of vehicles on the road and delaying rollouts of other technologies. Any of these outcomes would detract from achieving the agency’s overall goals of reduced emissions and improved fuel economy.",Consumer desires,Oppose,Support,False
Alliance for Automotive Innovation,"In the past, customers who sought greater vehicle utility or higher performance did so through selection of optional engines with greater displacement. However, industry, driven in part by GHG and fuel economy regulations, has developed entire families of downsized engines that have proven capable of meeting customer demands for power while simultaneously increasing efficiency and lowering GHG emissions. This is exactly the strategy that EPA previously identified as the technological pathway to meeting increasingly stringent GHG emissions regulations while maintaining existing performance levels.",Other,Neutral,Support,False
